trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.06, 'e': 0.9490000000000056}",25,0,-188.56066104754075,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
103,False,"{'a': 0.06, 'e': 0.9485000000000057}",20,10,-73.60521882409395,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
104,False,"{'a': 0.06, 'e': 0.9480000000000057}",25,0,-69.84020390102168,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
105,False,"{'a': 0.06, 'e': 0.9475000000000058}",25,2,-91.42143003006385,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 1}",1
106,False,"{'a': 0.06, 'e': 0.9470000000000058}",20,0,-134.281094566452,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
107,False,"{'a': 0.06, 'e': 0.9465000000000059}",35,0,-115.90120303936061,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
108,False,"{'a': 0.06, 'e': 0.946000000000006}",25,0,-109.5177725801223,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
109,False,"{'a': 0.06, 'e': 0.945500000000006}",25,0,-196.0239503981291,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
110,False,"{'a': 0.06, 'e': 0.9450000000000061}",25,0,-89.52458530006217,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
111,False,"{'a': 0.06, 'e': 0.9445000000000061}",25,0,-88.58219228371262,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
112,False,"{'a': 0.06, 'e': 0.9440000000000062}",30,0,-52.63091314329702,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
113,False,"{'a': 0.06, 'e': 0.9435000000000062}",20,4,-69.21824107264321,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
114,False,"{'a': 0.06, 'e': 0.9430000000000063}",20,0,-115.35479976040585,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
115,False,"{'a': 0.06, 'e': 0.9425000000000063}",30,0,-65.18054431697125,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
116,False,"{'a': 0.06, 'e': 0.9420000000000064}",25,0,-149.05288592248627,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
117,False,"{'a': 0.06, 'e': 0.9415000000000064}",25,0,-41.56835870986207,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
118,False,"{'a': 0.06, 'e': 0.9410000000000065}",25,0,-102.86949950080958,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
119,False,"{'a': 0.06, 'e': 0.9405000000000066}",20,0,-108.5713745650696,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.06, 'e': 0.9400000000000066}",25,0,-132.62749948815215,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
121,False,"{'a': 0.06, 'e': 0.9395000000000067}",20,0,-39.691581527328694,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
122,False,"{'a': 0.06, 'e': 0.9390000000000067}",20,0,-44.36076219793863,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
123,False,"{'a': 0.06, 'e': 0.9385000000000068}",25,0,-184.3621880616548,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
